cell_type	putative_driver_count	mean_abs_cnv_score
Pancreatic cells	0	0.07568129447919993
Pancreatic cells	0	0.04567510873409835
Pancreatic cells	0	0.06761543510663708
Liver cells	1	0.07261825852068754
Fibroblasts	4	0.07588207042926653
Liver cells	0	0.06155682663342228
Pancreatic cells	1	0.06068699852956695
Liver cells	0	0.06599229075166697
Pancreatic cells	4	0.0629317558952014
Pancreatic cells	1	0.0558021850007585
Pancreatic cells	0	0.05791166632986236
Pancreatic cells	2	0.04749686858807988
Pancreatic cells	1	0.06233227345649527
Liver cells	0	0.06083674334109633
Fibroblasts	1	0.05943597224282102
Liver cells	0	0.0549078116998471
Pancreatic cells	2	0.05897942573503968
Pancreatic cells	1	0.06448514398328763
Liver cells	0	0.060302822962703284
Liver cells	2	0.06697089315706385
Pancreatic cells	0	0.05286830963050268
Pancreatic cells	0	0.0522554825169894
Neutrophils	0	0.062475413199255384
Pancreatic cells	2	0.05717115302244104
Pancreatic cells	3	0.05703050034133128
Neutrophils	1	0.04757183195605841
Neutrophils	0	0.057306046269487446
Pancreatic cells	2	0.04198685211594081
Pancreatic cells	0	0.042019941627959335
Fibroblasts	2	0.0753181322285287
Pancreatic cells	2	0.07692444628940909
Pancreatic cells	1	0.06112905844882159
Pancreatic cells	0	0.05596329604791635
Pancreatic cells	1	0.06393567123151982
Pancreatic cells	1	0.0529458819204763
Pancreatic cells	2	0.07177134770104995
Pancreatic cells	1	0.07364686837257273
Pancreatic cells	1	0.07879382276134937
Pancreatic cells	3	0.07399093988151077
Pancreatic cells	0	0.06695151137477806
Pancreatic cells	0	0.05830265542885667
Pancreatic cells	0	0.05774056381138215
Liver cells	2	0.0743680119241648
Liver cells	1	0.052457332562572484
Liver cells	1	0.06481336467400897
Fibroblasts	1	0.059035931916630126
Liver cells	0	0.054218457827150804
Pancreatic cells	1	0.06482266614779399
Liver cells	0	0.059539419683213426
Pancreatic cells	2	0.05711912006878283
Pancreatic cells	2	0.04293413148245378
Fibroblasts	4	0.07287862020305573
Pancreatic cells	2	0.06150117812044985
Pancreatic cells	0	0.04084776446313295
Fibroblasts	2	0.05363306216666519
Liver cells	0	0.07081446705919345
Liver cells	0	0.07189725599530974
Pancreatic cells	5	0.059497639156188005
Pancreatic cells	1	0.06295404462614732
Pancreatic cells	5	0.07502617177359727
Pancreatic cells	1	0.04949587632594277
Liver cells	4	0.06440170181662168
Pancreatic cells	0	0.057089365961206374
Liver cells	5	0.07322076524587325
Liver cells	1	0.0694409608288611
Pancreatic cells	1	0.0414154203725503
Pancreatic cells	1	0.06714110488015958
Pancreatic cells	0	0.06964798454619793
Liver cells	0	0.05314237581928726
Pancreatic cells	1	0.049781969147720734
Neutrophils	1	0.05620382408536965
Liver cells	1	0.06392603953891064
Pancreatic cells	1	0.054851398639181245
Pancreatic cells	1	0.05500777278755219
Pancreatic cells	1	0.09854348514752649
Pancreatic cells	4	0.06162396887126158
Pancreatic cells	2	0.06477953184271515
Liver cells	2	0.059350518107498945
Pancreatic cells	0	0.055846717149372734
Pancreatic cells	2	0.06187904169801713
Liver cells	0	0.05775405478917129
Liver cells	0	0.0683463210468132
Neutrophils	0	0.06109961287730451
Pancreatic cells	0	0.05913370427464819
Pancreatic cells	2	0.04802435145624943
Pancreatic cells	1	0.05481736547884608
Pancreatic cells	2	0.0690376578667825
Neutrophils	0	0.052712758271576336
Neutrophils	1	0.05691753056400572
Pancreatic cells	1	0.047969120900723736
Liver cells	0	0.07024201480954774
Pancreatic cells	3	0.0530620554716732
Pancreatic cells	2	0.04274644459734176
Pancreatic cells	1	0.054966328121304364
Pancreatic cells	1	0.07415604790165062
Pancreatic cells	1	0.06699577271521397
Liver cells	0	0.08862787055016279
Pancreatic cells	1	0.060300020847772466
Pancreatic cells	3	0.07043600180552055
Liver cells	0	0.06850621556567403
Neutrophils	0	0.051940041112937936
Neutrophils	1	0.056196667770319175
Liver cells	0	0.07131572989403502
Neutrophils	0	0.06244573327272548
Pancreatic cells	4	0.057265104615755485
Liver cells	1	0.06940578771358073
Liver cells	3	0.07271963802485991
Pancreatic cells	2	0.0499269847885354
Pancreatic cells	0	0.06435892099506463
Pancreatic cells	2	0.05900133762539719
Liver cells	2	0.057318168162003955
Pancreatic cells	0	0.06674364631602145
Liver cells	0	0.06391105567645788
Liver cells	0	0.06267242413088867
Liver cells	1	0.07818253903003117
Pancreatic cells	2	0.0552963990975522
Liver cells	0	0.0722445038156289
Pancreatic cells	2	0.04231185192353095
Pancreatic cells	0	0.04864440514370715
Fibroblasts	4	0.06736474479473864
Liver cells	1	0.0783440634945448
Neutrophils	2	0.06480133020725669
Pancreatic cells	1	0.07156362271471045
Pancreatic cells	1	0.05615699618358114
Neutrophils	0	0.061675106283819475
Pancreatic cells	0	0.05583168608962605
Pancreatic cells	1	0.04334590462768595
Liver cells	3	0.07732580519090741
Pancreatic cells	1	0.06886358263656708
Pancreatic cells	1	0.06091738054391602
Pancreatic cells	4	0.04764464122301915
