SRR7667069	PT081_P5_H03_S183
SRR7667070	PT081_P5_H04_S184
SRR7667071	PT081_P5_H05_S185
SRR7667072	PT081_P5_H06_S186
SRR7667074	PT081_P5_H08_S188
SRR7667075	PT081_P5_H09_S189
SRR7667077	PT084_P11_A04_S292
SRR7667082	PT084_P11_A11_S299
SRR7667083	PT084_P11_A12_S300
SRR7667084	PT084_P11_B01_S301
SRR7667085	PT084_P11_B02_S302
SRR7667086	PT084_P11_B03_S303
SRR7667087	PT084_P11_B04_S304
SRR7667088	PT084_P11_B05_S305
SRR7667089	PT084_P11_B06_S306
SRR7667090	PT084_P11_B07_S307
SRR7667091	PT084_P11_B08_S308
SRR7667092	PT084_P11_B09_S309
SRR7667093	PT084_P11_B10_S310
SRR7667094	PT084_P11_B11_S311
SRR7667095	PT084_P11_B12_S312
SRR7667096	PT084_P11_C01_S313
SRR7667097	PT084_P11_C02_S314
SRR7667098	PT084_P11_C03_S315
SRR7667099	PT084_P11_C04_S316
SRR7667100	PT084_P11_C05_S317
SRR7667101	PT084_P11_C06_S318
SRR7667102	PT084_P11_C07_S319
SRR7667103	PT084_P11_C08_S320
SRR7667104	PT084_P11_C09_S321
SRR7667105	PT084_P11_C10_S322
SRR7667106	PT084_P11_C11_S323
SRR7667107	PT084_P11_D01_S325
SRR7667108	PT084_P11_D02_S326
SRR7667109	PT084_P11_D03_S327
SRR7667110	PT084_P11_D04_S328
SRR7667111	PT084_P11_D05_S329
SRR7667112	PT084_P11_D06_S330
SRR7667113	PT084_P11_D07_S331
SRR7667114	PT084_P11_D08_S332
SRR7667115	PT084_P11_D09_S333
SRR7667116	PT084_P11_D10_S334
SRR7667117	PT084_P11_D11_S335
SRR7667118	PT084_P11_D12_S336
SRR7667119	PT084_P11_E01_S337
SRR7667120	PT084_P11_E02_S338
SRR7667121	PT084_P11_E03_S339
SRR7667122	PT084_P11_E04_S340
SRR7667123	PT084_P11_E05_S341
SRR7667124	PT084_P11_E06_S342
SRR7667125	PT084_P11_E07_S343
SRR7667126	PT084_P11_E08_S344
SRR7667127	PT084_P11_E09_S345
SRR7667129	PT084_P11_E11_S347
SRR7667130	PT084_P11_E12_S348
SRR7667131	PT084_P11_F01_S349
SRR7667132	PT084_P11_F02_S350
SRR7667133	PT084_P11_F03_S351
SRR7667134	PT084_P11_F04_S352
SRR7667135	PT084_P11_F05_S353
SRR7667136	PT084_P11_F06_S354
SRR7667137	PT084_P11_F07_S355
SRR7667138	PT084_P11_F08_S356
SRR7667139	PT084_P11_F09_S357
SRR7667140	PT084_P11_F10_S358
SRR7667141	PT084_P11_F11_S359
SRR7667142	PT084_P11_F12_S360
SRR7667143	PT084_P11_G01_S361
SRR7667145	PT084_P11_G03_S363
SRR7667146	PT084_P11_G04_S364
SRR7667147	PT084_P11_G05_S365
SRR7667148	PT084_P11_G06_S366
SRR7667149	PT084_P11_G07_S367
SRR7667150	PT084_P11_G08_S368
SRR7667151	PT084_P11_G09_S369
SRR7667152	PT084_P11_G10_S370
SRR7667153	PT084_P11_G11_S371
SRR7667154	PT084_P11_G12_S372
SRR7667155	PT084_P11_H01_S373
SRR7667156	PT084_P11_H02_S374
SRR7667157	PT084_P11_H03_S375
SRR7667158	PT084_P11_H04_S376
SRR7667159	PT084_P11_H05_S377
SRR7667160	PT084_P11_H06_S378
SRR7667161	PT084_P11_H07_S379
SRR7667162	PT084_P11_H08_S380
SRR7667163	PT084_P11_H09_S381
SRR7667164	PT084_P11_H10_S382
SRR7667165	PT084_P11_H11_S383
SRR7667166	PT084_P11_H12_S384
SRR7667167	PT084_P1_D10
SRR7667168	PT084_P1_D11
SRR7667169	PT084_P1_D12
SRR7667170	PT084_P1_E01
SRR7667171	PT084_P1_E02
SRR7667172	PT084_P1_E03
SRR7667173	PT084_P1_E04
SRR7667174	PT084_P1_E05
SRR7667175	PT084_P8_A01_S193
SRR7667178	PT084_P8_A05_S197
SRR7667179	PT084_P8_A06_S198
SRR7667181	PT084_P8_A08_S200
SRR7667182	PT084_P8_A10_S202
SRR7667183	PT084_P8_A11_S203
SRR7667185	PT084_P8_B01_S205
SRR7667186	PT084_P8_B02_S206
SRR7667187	PT084_P8_B03_S207
SRR7667189	PT084_P8_B05_S209
SRR7667190	PT084_P8_B06_S210
SRR7667191	PT084_P8_B07_S211
SRR7667192	PT084_P8_B08_S212
SRR7667193	PT084_P8_B10_S214
SRR7667194	PT084_P8_B11_S215
SRR7667195	PT084_P8_B12_S216
SRR7667197	PT084_P8_C02_S218
SRR7667198	PT084_P8_C03_S219
SRR7667199	PT084_P8_C04_S220
SRR7667200	PT084_P8_C05_S221
SRR7667201	PT084_P8_C06_S222
SRR7667202	PT084_P8_C07_S223
SRR7667203	PT084_P8_C08_S224
SRR7667204	PT084_P8_C09_S225
SRR7667205	PT084_P8_C10_S226
SRR7667206	PT084_P8_C11_S227
SRR7667207	PT084_P8_C12_S228
SRR7667208	PT084_P8_D01_S229
SRR7667209	PT084_P8_D02_S230
SRR7667212	PT084_P8_D05_S233
SRR7667213	PT084_P8_D06_S234
SRR7667214	PT084_P8_D07_S235
SRR7667215	PT084_P8_D08_S236
SRR7667216	PT084_P8_D10_S238
SRR7667217	PT084_P8_D11_S239
SRR7667218	PT084_P8_D12_S240
SRR7667219	PT084_P8_E01_S241
SRR7667221	PT084_P8_E03_S243
SRR7667222	PT084_P8_E04_S244
SRR7667224	PT084_P8_E06_S246
SRR7667225	PT084_P8_E07_S247
SRR7667226	PT084_P8_E08_S248
SRR7667227	PT084_P8_E09_S249
SRR7667228	PT084_P8_E10_S250
SRR7667229	PT084_P8_E11_S251
SRR7667230	PT084_P8_E12_S252
SRR7667231	PT084_P8_F01_S253
SRR7667232	PT084_P8_F02_S254
SRR7667235	PT084_P8_F05_S257
SRR7667236	PT084_P8_F06_S258
SRR7667237	PT084_P8_F07_S259
SRR7667238	PT084_P8_F08_S260
SRR7667239	PT084_P8_F09_S261
SRR7667242	PT084_P8_F12_S264
SRR7667243	PT084_P8_G01_S265
SRR7667244	PT084_P8_G02_S266
SRR7667245	PT084_P8_G03_S267
SRR7667246	PT084_P8_G05_S269
SRR7667247	PT084_P8_G06_S270
SRR7667248	PT084_P8_G07_S271
SRR7667249	PT084_P8_G09_S273
SRR7667250	PT084_P8_G10_S274
SRR7667251	PT084_P8_G11_S275
SRR7667252	PT084_P8_G12_S276
SRR7667253	PT084_P8_H01_S277
SRR7667254	PT084_P8_H02_S278
SRR7667255	PT084_P8_H03_S279
SRR7667256	PT084_P8_H04_S280
SRR7667258	PT084_P8_H06_S282
SRR7667259	PT084_P8_H07_S283
SRR7667260	PT084_P8_H08_S284
SRR7667263	PT084_P8_H11_S287
SRR7667264	PT084_P8_H12_S288
SRR7667265	PT126_P3_A01_S1
SRR7667267	PT126_P3_A03_S3
SRR7667269	PT126_P3_A05_S5
SRR7667270	PT126_P3_A06_S6
